"Reservoir","Site","DateTime","SampleTime","StartDepth_m","EndDepth_m","Taxon","Density_IndPerL","MeanLength_mm","MeanWeight_ug","Biomass_ugL","Flag_Density","Flag_Length","Flag_Weight","Flag_Biomass"
"BVR",50,2014-04-30 12:00:00,12:00:00,8.5,0,"Ascomorpha",1.04,NA,NA,NA,0,0,0,0
"BVR",50,2014-05-14 12:00:00,12:00:00,8.5,0,"Ascomorpha",0.55,NA,NA,NA,0,0,0,0
"BVR",50,2014-05-29 12:00:00,12:00:00,8.5,0,"Ascomorpha",13.91,NA,NA,NA,0,0,0,0
"BVR",50,2014-06-04 12:00:00,12:00:00,8.5,0,"Ascomorpha",24.97,NA,NA,NA,0,0,0,0
"BVR",50,2014-06-18 00:00:00,00:00:00,8.5,0,"Ascomorpha",2.44,NA,NA,NA,0,0,0,0
"BVR",50,2014-06-25 12:00:00,12:00:00,8.5,0,"Ascomorpha",2.88,NA,NA,NA,0,0,0,0
"BVR",50,2014-07-02 12:00:00,12:00:00,10.5,0,"Ascomorpha",0.94,NA,NA,NA,0,0,0,0
"BVR",50,2014-07-09 12:00:00,12:00:00,10.5,0,"Ascomorpha",0.54,NA,NA,NA,0,0,0,0
"BVR",50,2014-07-23 12:00:00,12:00:00,8.5,0,"Ascomorpha",0.39,NA,NA,NA,0,0,0,0
"BVR",50,2014-08-13 00:00:00,00:00:00,8.5,0,"Ascomorpha",0.33,NA,NA,NA,0,0,0,0
"BVR",50,2014-09-04 12:00:00,12:00:00,8.5,0,"Ascomorpha",2.08,NA,NA,NA,0,0,0,0
"BVR",50,2014-09-25 12:00:00,12:00:00,8.5,0,"Ascomorpha",12.27,NA,NA,NA,0,0,0,0
"BVR",50,2015-05-28 12:00:00,12:00:00,9,0,"Ascomorpha",0.79,NA,NA,NA,0,0,0,0
"BVR",50,2015-06-11 12:00:00,12:00:00,9,0,"Ascomorpha",0.79,NA,NA,NA,0,0,0,0
"BVR",50,2015-06-25 12:00:00,12:00:00,9,0,"Ascomorpha",0.79,NA,NA,NA,0,0,0,0
"BVR",50,2015-07-30 12:00:00,12:00:00,9,0,"Ascomorpha",0.79,NA,NA,NA,0,0,0,0
"BVR",50,2015-09-04 12:00:00,12:00:00,9,0,"Ascomorpha",6.29,NA,NA,NA,0,0,0,0
"BVR",50,2015-09-18 12:00:00,12:00:00,9,0,"Ascomorpha",1.57,NA,NA,NA,0,0,0,0
"BVR",50,2015-10-02 12:00:00,12:00:00,9,0,"Ascomorpha",1.57,NA,NA,NA,0,0,0,0
"BVR",50,2015-10-23 12:00:00,12:00:00,9,0,"Ascomorpha",3.93,NA,NA,NA,0,0,0,0
"CCR",50,2014-09-19 12:00:00,12:00:00,20,0,"Ascomorpha",1.77,NA,NA,NA,0,0,0,0
"CCR",50,2014-10-03 12:00:00,12:00:00,18,0,"Ascomorpha",17.68,NA,NA,NA,0,0,0,0
"CCR",50,2014-10-24 12:00:00,12:00:00,18,0,"Ascomorpha",17.68,NA,NA,NA,0,0,0,0
"CCR",50,2015-07-24 12:00:00,12:00:00,20,0,"Ascomorpha",7.07,NA,NA,NA,0,0,0,0
"CCR",50,2015-08-07 12:00:00,12:00:00,20,0,"Ascomorpha",3.54,NA,NA,NA,0,0,0,0
"CCR",50,2015-08-26 12:00:00,12:00:00,20,0,"Ascomorpha",24.76,NA,NA,NA,0,0,0,0
"CCR",50,2015-09-09 12:00:00,12:00:00,19,0,"Ascomorpha",6.33,NA,NA,NA,0,0,0,0
"CCR",50,2015-09-23 12:00:00,12:00:00,19,0,"Ascomorpha",5.58,NA,NA,NA,0,0,0,0
"CCR",50,2015-10-28 12:00:00,12:00:00,20,0,"Ascomorpha",7.07,NA,NA,NA,0,0,0,0
"GWR",50,2014-06-16 13:30:00,13:30:00,12,0,"Ascomorpha",3.54,NA,NA,NA,0,0,0,0
"GWR",50,2014-06-29 14:15:00,14:15:00,12,0,"Ascomorpha",0.59,NA,NA,NA,0,0,0,0
"GWR",50,2014-07-09 17:00:00,17:00:00,12,0,"Ascomorpha",0.59,NA,NA,NA,0,0,0,0
"GWR",50,2014-08-11 19:30:00,19:30:00,10,0,"Ascomorpha",0.71,NA,NA,NA,0,0,0,0
"GWR",50,2014-08-22 16:30:00,16:30:00,10,0,"Ascomorpha",0.71,NA,NA,NA,0,0,0,0
"GWR",50,2014-09-07 13:00:00,13:00:00,10,0,"Ascomorpha",4.24,NA,NA,NA,0,0,0,0
"GWR",50,2014-09-30 09:30:00,09:30:00,10,0,"Ascomorpha",2.12,NA,NA,NA,0,0,0,0
"GWR",50,2015-05-20 16:30:00,16:30:00,13,0,"Ascomorpha",8.16,NA,NA,NA,0,0,0,0
"GWR",50,2015-05-30 18:00:00,18:00:00,13,0,"Ascomorpha",13.06,NA,NA,NA,0,0,0,0
"GWR",50,2015-06-10 11:00:00,11:00:00,13,0,"Ascomorpha",21.76,NA,NA,NA,0,0,0,0
"GWR",50,2015-06-22 19:00:00,19:00:00,13,0,"Ascomorpha",5.44,NA,NA,NA,0,0,0,0
"GWR",50,2015-07-06 17:30:00,17:30:00,14,0,"Ascomorpha",0.51,NA,NA,NA,0,0,0,0
"GWR",50,2015-07-20 18:30:00,18:30:00,13,0,"Ascomorpha",5.44,NA,NA,NA,0,0,0,0
"GWR",50,2015-07-25 12:00:00,12:00:00,13,0,"Ascomorpha",5.44,NA,NA,NA,0,0,0,0
"GWR",50,2015-08-15 11:00:00,11:00:00,13,0,"Ascomorpha",0.54,NA,NA,NA,0,0,0,0
"SHR",50,2014-07-24 12:00:00,12:00:00,28.5,0,"Ascomorpha",0.89,NA,NA,NA,0,0,0,0
"SHR",50,2014-08-07 12:00:00,12:00:00,28.5,0,"Ascomorpha",0.31,NA,NA,NA,0,0,0,0
