attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical				
Site	Sampling site within each reservoir	numeric	dimensionless			
Date	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		YYYY-MM-DD hh:mm:ss		
Depth_m	Water depth where the sample was collected or sensor reading was measured 	numeric	meter		NA	No data
Temp_C	Water temperature	numeric	celsius		NA	No data
DO_mgL	Dissolved oxygen (DO) concentration	numeric	milligramsPerLiter		NA	No data
Cond_uScm	Conductivity	numeric	microSiemenPerCentimeter		NA	No data
Spec_Cond_uScm	Specific conductance; conductivity normalized to 20 degrees celsius	numeric	microSiemenPerCentimeter		NA	No data
Chla_ugL	Chlorophyll a	numeric	microgramsPerLiter		NA	No data
Turb_NTU	Turbidity	numeric	dimensionless		NA	No data
pH	Water pH	numeric	dimensionless		NA	No data
ORP_mV	Reduction potential	numeric	millivolt		NA	No data
