"Reservoir","Year","Date","Depth","TP_ugL","TN_ugL","DOC_ugL","NH4_ugL","PO4_ugL","NO3_ugL","Site","Notes"
"FCR",2017,2017-02-06 12:00:00,0.1,19.7,140,1.86786192973333,7.69,4.11,4.57,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,1.6,18,158.57,2.19134100093333,9.06,3.22,5.32,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,3.8,19.8,153.57,2.01564988466667,8.65,5.3,7.09,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,5,18.6,120,1.9567539404,4.44,3.88,3.83,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,6.2,19.6,119,1.8059094348,7.62,5.24,2.78,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,8,19.9,121,1.8703172692,3.54,2.4,2.36,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,9,21.1,129,1.68496603106667,4.08,7.36,2.79,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-06 12:00:00,999,13.2,103,1.09596430746667,4.53,10.2,34.4,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,0.1,18.2,140,1.92578475786667,12.9,6.6,4.33,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,1.6,21.9,123,2.99642655733333,16.9,8.86,5.13,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,3.8,25.5,139,2.26985291853333,6.04,5.35,2.73,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,5,17,149,1.90956150373333,5.2,4.4,2.9,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,6.2,19.3,122,2.18042232733333,6.48,4.66,3.44,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,8,21,128,1.7973810428,3.37,5.6,2.67,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,9,18.3,127,2.23931807653333,5.44,4.5,3.7,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-02-27 12:00:00,999,17.4,129,1.18160784453333,7.08,9.85,110,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,0.1,18.8,154,2.26090431586667,11,4.63,4.16,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,1.6,17.2,135,2.33810311293333,5.06,5.76,3.71,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,3.8,23.2,194.57,1.90656253426667,3.78,5.2,3.88,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,5,21.9,135,2.33600413986667,4.65,2.77,3.43,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,6.2,21.9,146,2.21228985933333,6.62,5.27,7.04,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,8,22.6,141,2.20625054933333,7.13,4.88,1.8,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,9,17,135,2.1654748104,4.55,4.01,3.38,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-13 12:00:00,999,20.6,175,1.30989784906667,5.32,11.8,108,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,0.1,21.2,135,2.34265014386667,18.5,15.5,3.37,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,1.6,17.1,92,2.1593894268,12.1,16.5,3.09,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,3.8,18.7,142,2.19241918053333,10.9,11.8,0.929,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,5,21.2,137,2.06846228733333,12.3,9.59,2.21,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,6.2,19.1,140,2.12394050333333,14.4,8.79,2.02,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,8,17.1,133,2.34774483573333,11.6,10.8,2.64,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,9,20.4,177.57,1.95103866293333,12.5,7.63,0.599,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-03-27 12:00:00,999,22.9,169,1.4817370916,13.1,15.2,96.7,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,0.1,21.4,127,2.377722308,7.07,10.4,11.5,50,"NA;NA;NA;NA;NA;NA;NA;NA"
