"Reservoir","Year","Date","Depth","TP_ugL","TN_ugL","DOC_ugL","NH4_ugL","PO4_ugL","NO3_ugL","Notes"
"BVR",2017,2017-03-17 12:00:00,0.1,12.3,163,2.6017962992,9.66,7.43,4.4,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-03-17 12:00:00,3,13.3,129,3.0245,16.3,6.4,4.23,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-03-17 12:00:00,6,10.2,125,2.49730001626667,9.09,7.23,5,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-03-17 12:00:00,9,11.9,146,2.50402317093333,5.9,5.92,3.08,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-03-17 12:00:00,11,13.5,128,2.853,8.04,6.49,3.03,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-04-10 12:00:00,0.1,10.9,201,2.45650184733333,2.65,10.2,14.1,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-04-10 12:00:00,3,10.5,145,2.4651455968,19.9,9.36,3.35,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-04-10 12:00:00,6,10.5,129,2.3620727424,13.5,8.3,1.91,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-04-10 12:00:00,9,14.3,136,2.57333013346667,9.09,11.7,4.3,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-04-10 12:00:00,11,13.5,133,2.3886142824,19.3,9.58,3.67,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-05 12:00:00,0.1,12.4,252,3.13451962933333,22.3,8.93,5.41,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-05 12:00:00,3,2.25122428,195.85001056,2.9498375208,10.6,8.34,5.93,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-05 12:00:00,6,16.981288,217.19115623175,2.6835,5.39,3.93,3.39,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-05 12:00:00,9,18.8,225,2.35857257573333,18.4,5.32,4.68,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-05 12:00:00,11,22.75062892,353.76216450675,2.32294672586667,111,6.21,3.69,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-10 12:00:00,0.1,16.1,192,2.7725,6.94,7.61,4.27,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-10 12:00:00,3,16.1,199,2.8905,4.56,5.73,3.88,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-10 12:00:00,6,3.7069514375,194.02582304,3.0319585044,8.19,6.46,5.99,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-10 12:00:00,9,2.0667782903,234.38628736,2.4465,46.3,4.75,2.42,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-10 12:00:00,11,21.1,327,2.9275,131,3.48,5.25,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-18 12:00:00,0.1,18.6,213,3.0475,4.86,5.92,3.72,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-18 12:00:00,3,19.2,200,3.119,6.27,7.22,3.79,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-18 12:00:00,6,13.5114357068,199.01956290675,2.36315009853333,9.13,5.73,3.53,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-18 12:00:00,9,23.5,605,2.40256129013333,360,4.87,2.55,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-18 12:00:00,11,16.19269903,872.29569404,2.205,463,3.06,2.76,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-25 12:00:00,0.1,26.89584352,249.83058690675,2.8685,11.2,6.9,4.68,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-25 12:00:00,3,13.9,224,2.6022186988,7.94,8.66,1.19,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-25 12:00:00,6,18,173,2.661,10.2,3.37,3.75,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-25 12:00:00,9,24.2,338,2.09545394466667,90.8,7.19,3.8,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-25 12:00:00,11,26.89584352,830.75195513175,2.38091062133333,562,5.29,0.388,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-30 12:00:00,0.1,21.9790943408,407.71883513175,3.558,6.89,7.49,5.44,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-30 12:00:00,3,12.7756183472,229.89090503175,2.7705690872,7.68,8.27,3.61,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-30 12:00:00,6,15.7,163,2.29397869133333,5.5,6.05,2.9,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-30 12:00:00,9,21.6,441,2.411,181,1.81,2.3,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-05-30 12:00:00,11,25.1,638,2.515,410,4.57,2.94,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-01 12:00:00,0.1,1.46205847,232.54134176,2.8563869716,8.15,8.64,3.6,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-01 12:00:00,3,18.2,179,2.791,5.35,5.42,5.09,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-01 12:00:00,6,13.8,190,2.5795,5.87,3.32,1.41,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-01 12:00:00,9,28.55958928,705.59527290675,NA,346,3.89,2.54,"standards made up atypically;standards made up atypically;?? Missing;NA;NA;NA;NA"
"BVR",2017,2017-06-01 12:00:00,11,23.6,763,2.2995,611,5.82,3.42,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-08 12:00:00,0.1,18.2,227,3.6015,8.22,6.78,2.41,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-08 12:00:00,3,18.3,225,3.379,11.1,8.22,4.52,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-08 12:00:00,6,17.9949155948,177.03181950675,2.325,5.08,1.61,4.19,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-08 12:00:00,9,26.3,681,2.41,432,2.4,2.07,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-08 12:00:00,11,23.7,733,3.2755,478,3.27,1.61,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-15 12:00:00,0.1,28.004648,382.71708263175,4.117,14.3,9.39,5.02,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-15 12:00:00,3,24.40628908,285.20973510675,3.4905,6.9,6.95,3.69,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-15 12:00:00,6,20.4381382192,200.59575450675,2.473,8.33,4.11,3.13,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-15 12:00:00,9,26.618867,821.49708263175,2.5305,464,4,3.47,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-15 12:00:00,11,21.64043888,934.264856,3.1075,418,3.93,7.75,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-22 12:00:00,0.1,18.9,440,4.5415,19.7,7.41,5.05,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-22 12:00:00,3,5.5227239263,422.900651,4.1685,12.2,7.08,3.73,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-22 12:00:00,6,13.10173148,380.37640396,2.4755,14.3,3.9,6.69,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-22 12:00:00,9,30.50471372,598.86717090675,2.278,324,3.89,2.23,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-22 12:00:00,11,7.5730055207,934.264856,2.901,703,12.9,3.6,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-29 12:00:00,0.1,18.1,567,5.5705,9.21,7.62,2.26,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-29 12:00:00,3,4.9333365167,457.0684,4.615,11.4,6.41,3.85,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-29 12:00:00,6,23.854043,375.24954210675,2.538,40.1,5.27,3.67,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-29 12:00:00,9,23.02634768,830.75195513175,2.6545,468,13.3,3.79,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-06-29 12:00:00,11,21.1,985,2.7835,763,13.9,6.72,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-07 12:00:00,0.1,26.06518348,688.51631873175,6.3075,13,8.36,3.98,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-07 12:00:00,3,25.235332,720.03017610675,4.8275,14.9,12.5,4.48,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-07 12:00:00,6,21.5,344,1.882,15,4.49,3.06,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-07 12:00:00,9,19.4,895,2.376,592,6.54,4.81,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-07 12:00:00,11,14.22037532,1598.115584,2.4925,1050,15.2,7.23,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-13 12:00:00,0.1,7.2478109663,714.09868096,7.1255,29.7,11.3,4.17,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-13 12:00:00,3,20.27320288,402.70495223175,4.7345,24.2,7.95,3.55,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-13 12:00:00,6,11.5458912752,400.61238784,2.646,37.7,4.35,3.63,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-13 12:00:00,9,17.89815007,1500.1,NA,1100,34.8,9.83,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;?? Missing;NA;NA;NA;NA"
"BVR",2017,2017-07-19 12:00:00,0.1,24.9,711,7.4025,8.02,13,1.91,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-19 16:00:00,0.1,43.4,782,6.171,10.4,14.3,4,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-19 20:00:00,0.1,32,709,6.013,9.95,17.6,3.97,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 00:00:00,0.1,247,3680,6.082,16.8,23.6,5.72,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 04:00:00,0.1,29.4,660,7.1535,24.1,22.3,47.1,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 08:00:00,0.1,35.1,915,7.771,23.8,15.9,4.6,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 12:00:00,0.1,28.1,668,7.896,10.8,12.2,3.83,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 12:00:00,3,24.6,445,5.3515,11.5,7.3,4.5,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 12:00:00,6,26.7,498,2.4775,114,6.68,2.73,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-20 12:00:00,9,30.2,1310,3.297,1030,19.6,8.43,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-27 12:00:00,0.1,29.7,726,7.093,15.3,11,1.53,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-27 12:00:00,3,27.5,495,3.3745,25.3,12.9,6.45,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-27 12:00:00,6,21.2,469,3.677,56.6,5.84,3.69,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-07-27 12:00:00,9,40.3,1420,3.147,886,13.9,5.08,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-03 12:00:00,0.1,25.8,830,5.5985,7.42,12.7,3.77,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-03 12:00:00,3,25.4,636,6.4155,10.5,11.6,3.59,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-03 12:00:00,6,29.3,572,3.0335,110,5.07,1.91,"NA;NA;NA;NA;NA;NA;NA"
