Reservoir,Year,Date,Depth,pH,PAR
BVR,2015,2015-07-09,1,7.23,450
BVR,2015,2015-07-09,2,7.19,200
BVR,2015,2015-07-09,3,7.06,100
BVR,2015,2015-07-09,4,6.74,55
BVR,2015,2015-07-09,5,6.31,27
BVR,2015,2015-07-09,6,6.07,12.9
BVR,2015,2015-07-09,7,5.95,2.9
BVR,2015,2015-07-09,8,5.95,0.57
BVR,2015,2015-07-09,9,5.94,0.307
BVR,2015,2015-07-09,10,5.95,0.262
BVR,2015,2015-07-09,11,6.08,0.2568
BVR,2015,2015-07-30,-0.1,,77.25
BVR,2015,2015-07-30,0.1,7.18,1136
BVR,2015,2015-07-30,1,7.29,671.5
BVR,2015,2015-07-30,2,7.27,284.7
BVR,2015,2015-07-30,3,7.32,137.9
BVR,2015,2015-07-30,4,7.33,60.01
BVR,2015,2015-07-30,5,6.56,19.91
BVR,2015,2015-07-30,6,6.37,4.073
BVR,2015,2015-07-30,7,6.24,0.7483
BVR,2015,2015-07-30,8,6.06,0.1854
BVR,2015,2015-07-30,9,6.05,0.01871
BVR,2015,2015-07-30,10,6.2,0.01502
BVR,2015,2015-07-30,11,6.26,0.01701
BVR,2015,2015-08-13,-0.1,,536
BVR,2015,2015-08-13,0.1,7.53,320
BVR,2015,2015-08-13,1,7.26,97.6
BVR,2015,2015-08-13,2,7.28,59.2
BVR,2015,2015-08-13,3,7.23,31.41
BVR,2015,2015-08-13,4,6.95,17.5
BVR,2015,2015-08-13,5,6.58,10.1
BVR,2015,2015-08-13,6,6.41,1.69
BVR,2015,2015-08-13,7,6.42,0.28
BVR,2015,2015-08-13,8,6.28,0.086
BVR,2015,2015-08-13,9,6.16,0.015
BVR,2015,2015-08-13,10,6.24,0.0034
BVR,2015,2015-08-13,11,6.42,0
BVR,2015,2015-08-20,-0.1,,
BVR,2015,2015-08-20,0.1,6.95,71.51
BVR,2015,2015-08-20,1,7.22,823.7
BVR,2015,2015-08-20,2,7.38,402.6
BVR,2015,2015-08-20,3,7.36,218.1
BVR,2015,2015-08-20,4,7.23,88.4
BVR,2015,2015-08-20,5,6.55,54.7
BVR,2015,2015-08-20,6,6.3,25.54
BVR,2015,2015-08-20,7,6.22,8.41
BVR,2015,2015-08-20,8,6.01,1.75
BVR,2015,2015-08-20,9,5.9,0.2806
BVR,2015,2015-08-20,10,6.14,0.0541
BVR,2015,2015-08-20,11,6.31,0.0068
BVR,2015,2015-09-04,-0.1,,-0.0017
BVR,2015,2015-09-04,0.1,7.37,
BVR,2015,2015-09-04,1,7.3,
BVR,2015,2015-09-04,2,7.31,
BVR,2015,2015-09-04,3,7.2,
BVR,2015,2015-09-04,4,6.63,
BVR,2015,2015-09-04,5,5.86,
BVR,2015,2015-09-04,6,5.77,
BVR,2015,2015-09-04,7,5.94,
BVR,2015,2015-09-04,8,5.96,
BVR,2015,2015-09-04,9,6.08,
BVR,2015,2015-09-04,10,6,
BVR,2015,2015-09-04,11,6.47,
BVR,2015,2015-09-04,12,6.62,
BVR,2015,2015-09-18,-0.1,,40
BVR,2015,2015-09-18,0.1,,65
BVR,2015,2015-09-18,1,,35
BVR,2015,2015-09-18,2,,36
BVR,2015,2015-09-18,3,,44
BVR,2015,2015-09-18,4,,72
BVR,2015,2015-09-18,5,,42
BVR,2015,2015-09-18,6,,16.4
BVR,2015,2015-09-18,7,,5.9
BVR,2015,2015-09-18,8,,1.6
BVR,2015,2015-09-18,9,,0.385
BVR,2015,2015-09-18,10,,0.093
BVR,2015,2015-09-18,11,,0.012
BVR,2015,2015-10-23,-0.1,,1027
BVR,2015,2015-10-23,0.1,6.93,78.12
BVR,2015,2015-10-23,1,6.82,54.7
BVR,2015,2015-10-23,2,6.7,208.1
BVR,2015,2015-10-23,3,6.66,119.6
BVR,2015,2015-10-23,4,6.65,56.74
BVR,2015,2015-10-23,5,6.61,24.13
BVR,2015,2015-10-23,6,6.52,9.519
BVR,2015,2015-10-23,7,6.44,4.347
BVR,2015,2015-10-23,8,6.3,0.6718
BVR,2015,2015-10-23,9,6.23,0.1752
BVR,2015,2015-10-23,10,6.37,0.05102
BVR,2015,2015-10-23,11,6.62,0.02251
