Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1900-01-01 00:00:59,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,21309003,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_15min,,,,,,,,
# Records,10646,,,,,,,,
Sensor File,3/31/2015 10:32,FCR_inf_15min_033115.a4d,,,,,,,
,,,,,,,,,
Barometric File,3/31/2015 13:08,FCRBV_033115.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1900-01-01 00:05:03,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,21204020,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,-1.01,-0.5,,,,,,
,Maximum,10.87,13.56,,,,,,
,Mean,8.54,3.91,,,,,,
,Variance,2.417,5.354,,,,,,
,Std Deviation,1.555,2.314,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,12/10/2014 12:00,6.36,5.38,389.71,2014-12-10 12:00:00,,,,
2,12/10/2014 12:15,6.39,5.56,389.65,2014-12-10 12:15:00,,,,
3,12/10/2014 12:30,6.34,5.63,389.54,2014-12-10 12:30:00,,,,
4,12/10/2014 12:45,6.31,5.63,389.4,2014-12-10 12:45:00,,,,
5,12/10/2014 13:00,6.36,5.69,389.4,2014-12-10 13:00:00,,,,
6,12/10/2014 13:15,6.25,5.69,389.32,2014-12-10 13:15:00,,,,
7,12/10/2014 13:30,6.35,5.69,389.26,2014-12-10 13:30:00,,,,
8,12/10/2014 13:45,6.21,5.69,389.09,2014-12-10 13:45:00,,,,
9,12/10/2014 14:00,6.21,5.69,389.07,2014-12-10 14:00:00,,,,
10,12/10/2014 14:15,6.29,5.63,389.18,2014-12-10 14:15:00,,,,
11,12/10/2014 14:30,6.31,5.69,389.18,2014-12-10 14:30:00,,,,
12,12/10/2014 14:45,6.24,5.63,389.21,2014-12-10 14:45:00,,,,
13,12/10/2014 15:00,6.3,5.5,389.37,2014-12-10 15:00:00,,,,
14,12/10/2014 15:15,6.32,5.44,389.4,2014-12-10 15:15:00,,,,
15,12/10/2014 15:30,6.36,5.31,389.38,2014-12-10 15:30:00,,,,
16,12/10/2014 15:45,6.46,5.19,389.43,2014-12-10 15:45:00,,,,
17,12/10/2014 16:00,6.41,5.13,389.41,2014-12-10 16:00:00,,,,
18,12/10/2014 16:15,6.42,5,389.46,2014-12-10 16:15:00,,,,
19,12/10/2014 16:30,6.51,4.81,389.55,2014-12-10 16:30:00,,,,
20,12/10/2014 16:45,6.4,4.81,389.52,2014-12-10 16:45:00,,,,
21,12/10/2014 17:00,6.64,4.75,389.55,2014-12-10 17:00:00,,,,
22,12/10/2014 17:15,6.41,4.63,389.63,2014-12-10 17:15:00,,,,
23,12/10/2014 17:30,6.44,4.56,389.66,2014-12-10 17:30:00,,,,
24,12/10/2014 17:45,6.43,4.56,389.63,2014-12-10 17:45:00,,,,
25,12/10/2014 18:00,6.41,4.5,389.66,2014-12-10 18:00:00,,,,
26,12/10/2014 18:15,6.45,4.5,389.58,2014-12-10 18:15:00,,,,
27,12/10/2014 18:30,6.45,4.5,389.61,2014-12-10 18:30:00,,,,
28,12/10/2014 18:45,6.4,4.44,389.58,2014-12-10 18:45:00,,,,
29,12/10/2014 19:00,6.42,4.44,389.58,2014-12-10 19:00:00,,,,
30,12/10/2014 19:15,6.38,4.38,389.52,2014-12-10 19:15:00,,,,
31,12/10/2014 19:30,6.34,4.38,389.5,2014-12-10 19:30:00,,,,
32,12/10/2014 19:45,6.38,4.38,389.52,2014-12-10 19:45:00,,,,
33,12/10/2014 20:00,6.44,4.31,389.53,2014-12-10 20:00:00,,,,
34,12/10/2014 20:15,6.39,4.31,389.44,2014-12-10 20:15:00,,,,
35,12/10/2014 20:30,6.39,4.19,389.41,2014-12-10 20:30:00,,,,
36,12/10/2014 20:45,6.45,4.13,389.5,2014-12-10 20:45:00,,,,
37,12/10/2014 21:00,6.46,4.13,389.47,2014-12-10 21:00:00,,,,
38,12/10/2014 21:15,6.44,4.13,389.42,2014-12-10 21:15:00,,,,
39,12/10/2014 21:30,6.45,4.13,389.44,2014-12-10 21:30:00,,,,
40,12/10/2014 21:45,6.51,4.13,389.47,2014-12-10 21:45:00,,,,
41,12/10/2014 22:00,6.42,4.06,389.36,2014-12-10 22:00:00,,,,
42,12/10/2014 22:15,6.38,4.06,389.3,2014-12-10 22:15:00,,,,
43,12/10/2014 22:30,6.36,4,389.3,2014-12-10 22:30:00,,,,
44,12/10/2014 22:45,6.44,4,389.33,2014-12-10 22:45:00,,,,
45,12/10/2014 23:00,6.41,3.94,389.42,2014-12-10 23:00:00,,,,
46,12/10/2014 23:15,6.43,3.88,389.36,2014-12-10 23:15:00,,,,
47,12/10/2014 23:30,6.45,3.81,389.33,2014-12-10 23:30:00,,,,
48,12/10/2014 23:45,6.47,3.81,389.36,2014-12-10 23:45:00,,,,
49,12/11/2014 0:00,6.53,3.69,389.34,2014-12-11 00:00:00,,,,
50,12/11/2014 0:15,6.53,3.69,389.28,2014-12-11 00:15:00,,,,
51,12/11/2014 0:30,6.52,3.56,389.34,2014-12-11 00:30:00,,,,
52,12/11/2014 0:45,6.43,3.5,389.25,2014-12-11 00:45:00,,,,
53,12/11/2014 1:00,6.53,3.44,389.25,2014-12-11 01:00:00,,,,
54,12/11/2014 1:15,6.52,3.44,389.17,2014-12-11 01:15:00,,,,
55,12/11/2014 1:30,6.44,3.38,389.12,2014-12-11 01:30:00,,,,
56,12/11/2014 1:45,6.44,3.31,389.17,2014-12-11 01:45:00,,,,
57,12/11/2014 2:00,6.35,3.25,389.12,2014-12-11 02:00:00,,,,
58,12/11/2014 2:15,6.41,3.13,389.17,2014-12-11 02:15:00,,,,
59,12/11/2014 2:30,6.38,3.06,389.29,2014-12-11 02:30:00,,,,
60,12/11/2014 2:45,6.39,3,389.31,2014-12-11 02:45:00,,,,
61,12/11/2014 3:00,6.38,3,389.34,2014-12-11 03:00:00,,,,
62,12/11/2014 3:15,6.35,3,389.34,2014-12-11 03:15:00,,,,
63,12/11/2014 3:30,6.34,2.94,389.32,2014-12-11 03:30:00,,,,
64,12/11/2014 3:45,6.31,2.94,389.37,2014-12-11 03:45:00,,,,
65,12/11/2014 4:00,6.45,2.88,389.54,2014-12-11 04:00:00,,,,
66,12/11/2014 4:15,6.45,2.88,389.54,2014-12-11 04:15:00,,,,
67,12/11/2014 4:30,6.47,2.88,389.54,2014-12-11 04:30:00,,,,
68,12/11/2014 4:45,6.69,2.81,389.54,2014-12-11 04:45:00,,,,
69,12/11/2014 5:00,6.52,2.75,389.57,2014-12-11 05:00:00,,,,
70,12/11/2014 5:15,6.48,2.75,389.49,2014-12-11 05:15:00,,,,
71,12/11/2014 5:30,6.47,2.69,389.54,2014-12-11 05:30:00,,,,
72,12/11/2014 5:45,6.44,2.69,389.63,2014-12-11 05:45:00,,,,
73,12/11/2014 6:00,6.48,2.63,389.68,2014-12-11 06:00:00,,,,
74,12/11/2014 6:15,6.46,2.63,389.68,2014-12-11 06:15:00,,,,
75,12/11/2014 6:30,6.53,2.56,389.77,2014-12-11 06:30:00,,,,
76,12/11/2014 6:45,6.52,2.5,389.74,2014-12-11 06:45:00,,,,
77,12/11/2014 7:00,6.49,2.5,389.68,2014-12-11 07:00:00,,,,
78,12/11/2014 7:15,6.55,2.44,389.66,2014-12-11 07:15:00,,,,
79,12/11/2014 7:30,6.61,2.44,389.68,2014-12-11 07:30:00,,,,
80,12/11/2014 7:45,6.57,2.44,389.57,2014-12-11 07:45:00,,,,
81,12/11/2014 8:00,6.61,2.38,389.66,2014-12-11 08:00:00,,,,
82,12/11/2014 8:15,6.58,2.38,389.77,2014-12-11 08:15:00,,,,
83,12/11/2014 8:30,6.62,2.31,389.85,2014-12-11 08:30:00,,,,
84,12/11/2014 8:45,6.47,2.31,389.91,2014-12-11 08:45:00,,,,
85,12/11/2014 9:00,6.48,2.31,390.05,2014-12-11 09:00:00,,,,
86,12/11/2014 9:15,6.45,2.31,390.1,2014-12-11 09:15:00,,,,
87,12/11/2014 9:30,6.47,2.31,390.19,2014-12-11 09:30:00,,,,
88,12/11/2014 9:45,6.47,2.38,390.22,2014-12-11 09:45:00,,,,
89,12/11/2014 10:00,6.5,2.38,390.27,2014-12-11 10:00:00,,,,
90,12/11/2014 10:15,6.39,2.44,390.27,2014-12-11 10:15:00,,,,
91,12/11/2014 10:30,6.44,2.5,390.3,2014-12-11 10:30:00,,,,
92,12/11/2014 10:45,6.48,2.56,390.35,2014-12-11 10:45:00,,,,
93,12/11/2014 11:00,6.45,2.63,390.32,2014-12-11 11:00:00,,,,
94,12/11/2014 11:15,6.36,2.75,390.32,2014-12-11 11:15:00,,,,
95,12/11/2014 11:30,6.37,2.81,390.29,2014-12-11 11:30:00,,,,
96,12/11/2014 11:45,6.27,2.88,390.15,2014-12-11 11:45:00,,,,
97,12/11/2014 12:00,6.3,3,390.07,2014-12-11 12:00:00,,,,
98,12/11/2014 12:15,6.32,3.06,389.98,2014-12-11 12:15:00,,,,
99,12/11/2014 12:30,6.43,3.13,389.93,2014-12-11 12:30:00,,,,
100,12/11/2014 12:45,6.43,3.31,389.98,2014-12-11 12:45:00,,,,
101,12/11/2014 13:00,6.42,3.44,389.81,2014-12-11 13:00:00,,,,
102,12/11/2014 13:15,6.37,3.63,389.76,2014-12-11 13:15:00,,,,
103,12/11/2014 13:30,6.26,3.69,389.81,2014-12-11 13:30:00,,,,
104,12/11/2014 13:45,6.31,3.69,389.78,2014-12-11 13:45:00,,,,
105,12/11/2014 14:00,6.35,3.75,389.78,2014-12-11 14:00:00,,,,
106,12/11/2014 14:15,6.27,3.81,389.73,2014-12-11 14:15:00,,,,
107,12/11/2014 14:30,6.24,3.75,389.73,2014-12-11 14:30:00,,,,
108,12/11/2014 14:45,6.27,3.63,389.78,2014-12-11 14:45:00,,,,
109,12/11/2014 15:00,6.25,3.63,389.76,2014-12-11 15:00:00,,,,
110,12/11/2014 15:15,6.25,3.56,389.81,2014-12-11 15:15:00,,,,
111,12/11/2014 15:30,6.31,3.56,389.9,2014-12-11 15:30:00,,,,
112,12/11/2014 15:45,6.28,3.56,389.92,2014-12-11 15:45:00,,,,
113,12/11/2014 16:00,6.28,3.56,389.9,2014-12-11 16:00:00,,,,
114,12/11/2014 16:15,6.31,3.56,389.98,2014-12-11 16:15:00,,,,
115,12/11/2014 16:30,6.26,3.56,390.01,2014-12-11 16:30:00,,,,
116,12/11/2014 16:45,6.31,3.56,390.09,2014-12-11 16:45:00,,,,
117,12/11/2014 17:00,6.29,3.5,390.15,2014-12-11 17:00:00,,,,
118,12/11/2014 17:15,6.29,3.5,390.23,2014-12-11 17:15:00,,,,
119,12/11/2014 17:30,6.3,3.5,390.32,2014-12-11 17:30:00,,,,
120,12/11/2014 17:45,6.28,3.5,390.4,2014-12-11 17:45:00,,,,
121,12/11/2014 18:00,6.3,3.44,390.46,2014-12-11 18:00:00,,,,
122,12/11/2014 18:15,6.31,3.44,390.48,2014-12-11 18:15:00,,,,
123,12/11/2014 18:30,6.28,3.44,390.48,2014-12-11 18:30:00,,,,
124,12/11/2014 18:45,6.38,3.44,390.51,2014-12-11 18:45:00,,,,
125,12/11/2014 19:00,6.32,3.38,390.51,2014-12-11 19:00:00,,,,
126,12/11/2014 19:15,6.31,3.38,390.6,2014-12-11 19:15:00,,,,
127,12/11/2014 19:30,6.34,3.38,390.71,2014-12-11 19:30:00,,,,
128,12/11/2014 19:45,6.37,3.31,390.74,2014-12-11 19:45:00,,,,
129,12/11/2014 20:00,6.37,3.25,390.82,2014-12-11 20:00:00,,,,
130,12/11/2014 20:15,6.41,3.25,390.91,2014-12-11 20:15:00,,,,
131,12/11/2014 20:30,6.37,3.31,390.88,2014-12-11 20:30:00,,,,
132,12/11/2014 20:45,6.42,3.31,390.88,2014-12-11 20:45:00,,,,
133,12/11/2014 21:00,6.43,3.31,390.96,2014-12-11 21:00:00,,,,
134,12/11/2014 21:15,6.42,3.31,390.96,2014-12-11 21:15:00,,,,
135,12/11/2014 21:30,6.56,3.25,391.02,2014-12-11 21:30:00,,,,
136,12/11/2014 21:45,6.43,3.25,391.07,2014-12-11 21:45:00,,,,
137,12/11/2014 22:00,6.5,3.25,391.16,2014-12-11 22:00:00,,,,
138,12/11/2014 22:15,6.53,3.25,391.18,2014-12-11 22:15:00,,,,
139,12/11/2014 22:30,6.45,3.19,391.13,2014-12-11 22:30:00,,,,
140,12/11/2014 22:45,6.51,3.19,391.21,2014-12-11 22:45:00,,,,
141,12/11/2014 23:00,6.57,3.19,391.3,2014-12-11 23:00:00,,,,
142,12/11/2014 23:15,6.43,3.19,391.3,2014-12-11 23:15:00,,,,
143,12/11/2014 23:30,6.53,3.19,391.41,2014-12-11 23:30:00,,,,
144,12/11/2014 23:45,6.48,3.19,391.41,2014-12-11 23:45:00,,,,
145,12/12/2014 0:00,6.5,3.13,391.44,2014-12-12 00:00:00,,,,
146,12/12/2014 0:15,6.45,3.13,391.38,2014-12-12 00:15:00,,,,
147,12/12/2014 0:30,6.42,3.06,391.38,2014-12-12 00:30:00,,,,
148,12/12/2014 0:45,6.42,3.13,391.33,2014-12-12 00:45:00,,,,
149,12/12/2014 1:00,6.48,3.06,391.33,2014-12-12 01:00:00,,,,
150,12/12/2014 1:15,6.51,3.06,391.33,2014-12-12 01:15:00,,,,
151,12/12/2014 1:30,6.46,3.13,391.38,2014-12-12 01:30:00,,,,
152,12/12/2014 1:45,6.44,3.06,391.41,2014-12-12 01:45:00,,,,
153,12/12/2014 2:00,6.41,3.06,391.44,2014-12-12 02:00:00,,,,
154,12/12/2014 2:15,6.43,3.06,391.47,2014-12-12 02:15:00,,,,
155,12/12/2014 2:30,6.43,3,391.52,2014-12-12 02:30:00,,,,
156,12/12/2014 2:45,6.44,3.06,391.52,2014-12-12 02:45:00,,,,
157,12/12/2014 3:00,6.38,3,391.41,2014-12-12 03:00:00,,,,
158,12/12/2014 3:15,6.39,3,391.38,2014-12-12 03:15:00,,,,
159,12/12/2014 3:30,6.38,2.94,391.44,2014-12-12 03:30:00,,,,
160,12/12/2014 3:45,6.42,2.94,391.44,2014-12-12 03:45:00,,,,
161,12/12/2014 4:00,6.42,2.94,391.47,2014-12-12 04:00:00,,,,
162,12/12/2014 4:15,6.43,2.94,391.52,2014-12-12 04:15:00,,,,
163,12/12/2014 4:30,6.33,2.94,391.44,2014-12-12 04:30:00,,,,
164,12/12/2014 4:45,6.44,2.94,391.52,2014-12-12 04:45:00,,,,
165,12/12/2014 5:00,6.48,2.94,391.52,2014-12-12 05:00:00,,,,
166,12/12/2014 5:15,6.4,2.88,391.5,2014-12-12 05:15:00,,,,
167,12/12/2014 5:30,6.39,2.88,391.47,2014-12-12 05:30:00,,,,
168,12/12/2014 5:45,6.38,2.88,391.64,2014-12-12 05:45:00,,,,
169,12/12/2014 6:00,6.4,2.94,391.69,2014-12-12 06:00:00,,,,
170,12/12/2014 6:15,6.36,2.88,391.72,2014-12-12 06:15:00,,,,
171,12/12/2014 6:30,6.34,2.88,391.69,2014-12-12 06:30:00,,,,
172,12/12/2014 6:45,6.34,2.88,391.86,2014-12-12 06:45:00,,,,
173,12/12/2014 7:00,6.36,2.88,391.97,2014-12-12 07:00:00,,,,
174,12/12/2014 7:15,6.36,2.88,392,2014-12-12 07:15:00,,,,
175,12/12/2014 7:30,6.34,2.88,392.06,2014-12-12 07:30:00,,,,
176,12/12/2014 7:45,6.35,2.88,392.08,2014-12-12 07:45:00,,,,
177,12/12/2014 8:00,6.32,2.94,392.11,2014-12-12 08:00:00,,,,
178,12/12/2014 8:15,6.38,3,392.11,2014-12-12 08:15:00,,,,
179,12/12/2014 8:30,6.4,3.06,392.05,2014-12-12 08:30:00,,,,
180,12/12/2014 8:45,6.35,3.13,392.11,2014-12-12 08:45:00,,,,
181,12/12/2014 9:00,6.34,3.19,392.19,2014-12-12 09:00:00,,,,
182,12/12/2014 9:15,6.3,3.31,392.13,2014-12-12 09:15:00,,,,
183,12/12/2014 9:30,6.28,3.31,392.16,2014-12-12 09:30:00,,,,
184,12/12/2014 9:45,6.34,3.38,392.22,2014-12-12 09:45:00,,,,
