Reservoir,Site,DateTime,StartDepth_m,EndDepth_m,CollectionMethod,DayorNight,Taxon,Density_IndPerL,MeanLength_mm,MeanWeight_ug,Biomass_ugL
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Ascomorpha,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Asplanchna,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Bosmina,0.06,0.2,0.25,0.01
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Chaoborus,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Chydorus,1.12,0.26,0.57,0.64
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Conochilus,0.18,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Cyclopoids,0.18,0.56,1.46,0.26
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,D. catawba,0,NA,NA,0
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Kellicottia,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Keratella,2.06,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Nauplii,0.88,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Polyarthra,0.83,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Total Rotifers,3.12,NA,NA,NA
BVR,50,2014-04-04 12:00:00,8.0,0.0,Tow,Day,Trichocerca,0.06,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Ascomorpha,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Asplanchna,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Bosmina,1.37,0.25,0.49,0.68
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Chaoborus,0,NA,NA,0
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Chydorus,2.41,0.24,0.41,0.99
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Conochilus,0.09,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Cyclopoids,0.75,0.54,1.31,0.99
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,D. catawba,0.42,0.49,0.93,0.39
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Diaptomus,0.85,0.57,0.76,0.65
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Kellicottia,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Keratella,1.93,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Nauplii,5,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Polyarthra,0.9,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Total Rotifers,2.92,NA,NA,NA
